status,id,title,year,director,studio,description,accolades,notes
# ─── ALREADY LIVE (8 films) ─────────────────────────────────────────────
LIVE,avengers,Avengers: Age of Ultron,2015,Joss Whedon,Marvel Studios,Thunderous brass and choir with soaring new Avengers theme — recorded at Capitol Studios and Abbey Road.,ASCAP Top Box Office Film,Images + Spotify populated
LIVE,ironman3,Iron Man 3,2013,Shane Black,Marvel Studios,Bold 9-note horn motif recorded at Abbey Road Studios — blockbuster power meeting intimate character texture.,BMI Film & TV Award; ASCAP Film Award,Images + Spotify populated
LIVE,mario,The Super Mario Bros. Movie,2023,Aaron Horvath & Michael Jelenic,Illumination / Universal / Nintendo,98% original orchestral music woven with Koji Kondo's legendary game themes as Easter eggs throughout.,"Annie Award nom. — Music in Animation; $1.36B box office",Images + Spotify populated
LIVE,fastx,Fast X,2023,Louis Leterrier,Universal Pictures,Propulsive score introducing villain Dante's theme — his fifth Fast & Furious instalment pushing the franchise's sonic identity to new extremes.,BMI Film & TV Award,Images + Spotify populated
LIVE,crazrich,Crazy Rich Asians,2018,Jon M. Chu,Warner Bros. Pictures,Blends jazz big band (35 musicians) with a 65-piece orchestral love theme featuring the erhu — a genre-bridging score shortlisted for the Oscar.,2019 Oscar Shortlist — Best Score; IFMCA nom.,Images + Spotify populated
LIVE,yellowstone,Yellowstone,2018,Taylor Sheridan,Paramount Network,Melancholy impressionistic chamber music — Sheridan played Tyler's music on set before shooting; five seasons of wide-open Americana.,SoundTrackFest Award — Best TV Score 2018; Emmy nom.,Images + Spotify populated
LIVE,furious7,Furious 7,2015,James Wan,Universal Pictures,Paul Walker's death mid-production transformed the score into a tribute — emotionally the most complex entry in the franchise.,"Brian/Mia Theme; BMI Award",Images + Spotify populated
LIVE,nuremberg,Nuremberg,2025,James Vanderbilt,Sony Pictures,Powerful biographical drama — Tyler described it as changing his perspective; sweeping score recorded with full orchestra. Released on Sony Classical.,Sony Classical release,Images + Spotify populated
# ─── NEW FILMS ───────────────────────────────────────────────────────────
NEW,frailty,Frailty,2001,Bill Paxton,Lions Gate Films,"Tyler's breakthrough score. Dark psychological thriller — tense, intimate orchestral writing that brought him to Hollywood's attention.",World Soundtrack Award nom. 2002,
NEW,thehunted,The Hunted,2003,William Friedkin,Paramount Pictures,Friedkin approached Tyler directly after hearing Frailty. Intense orchestral and ambient sound design underlining psychological tension between hunter and hunted.,World Soundtrack Award — Best New Film Composer 2003,
NEW,constantine,Constantine,2005,Francis Lawrence,Warner Bros. / DC Comics,Co-composed with Klaus Badelt — Tyler wrote the fully orchestral dark score and conducted the final combined score at Abbey Road.,ASCAP Film Award,Co-composer: Klaus Badelt
